state,action,next_state,probability,count
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=mid|left=too_close|right=mid|back=near,0.032258,0
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=far|left=too_close|right=mid|back=near,0.040323,0
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=far|left=ideal|right=mid|back=near,0.008065,0
front=near|left=too_close|right=mid|back=far,Move-Forward,front=near|left=too_close|right=mid|back=near,0.015625,0
front=near|left=too_close|right=mid|back=far,Move-Forward,front=near|left=too_close|right=mid|back=far,0.773438,0
front=near|left=too_close|right=mid|back=far,Move-Forward,front=near|left=too_close|right=far|back=near,0.007812,0
front=near|left=too_close|right=mid|back=far,Move-Forward,front=near|left=too_close|right=far|back=far,0.085938,0
front=near|left=too_close|right=mid|back=far,Move-Forward,front=mid|left=too_close|right=mid|back=far,0.046875,0
front=near|left=too_close|right=mid|back=far,Move-Forward,front=mid|left=too_close|right=far|back=far,0.007812,0
front=near|left=too_close|right=mid|back=far,Move-Forward,front=far|left=too_close|right=mid|back=far,0.0625,0
front=near|left=too_close|right=mid|back=far,Slight-Right-Turn,front=near|left=too_close|right=mid|back=near,0.015625,0
front=near|left=too_close|right=mid|back=far,Slight-Right-Turn,front=near|left=too_close|right=mid|back=far,0.773438,0
front=near|left=too_close|right=mid|back=far,Slight-Right-Turn,front=near|left=too_close|right=far|back=near,0.007812,0
front=near|left=too_close|right=mid|back=far,Slight-Right-Turn,front=near|left=too_close|right=far|back=far,0.085938,0
front=near|left=too_close|right=mid|back=far,Slight-Right-Turn,front=mid|left=too_close|right=mid|back=far,0.046875,0
front=near|left=too_close|right=mid|back=far,Slight-Right-Turn,front=mid|left=too_close|right=far|back=far,0.007812,0
front=near|left=too_close|right=mid|back=far,Slight-Right-Turn,front=far|left=too_close|right=mid|back=far,0.0625,0
front=near|left=too_close|right=mid|back=far,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=near,0.015625,2
front=near|left=too_close|right=mid|back=far,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=far,0.773438,99
front=near|left=too_close|right=mid|back=far,Sharp-Right-Turn,front=near|left=too_close|right=far|back=near,0.007812,1
front=near|left=too_close|right=mid|back=far,Sharp-Right-Turn,front=near|left=too_close|right=far|back=far,0.085938,11
front=near|left=too_close|right=mid|back=far,Sharp-Right-Turn,front=mid|left=too_close|right=mid|back=far,0.046875,6
front=near|left=too_close|right=mid|back=far,Sharp-Right-Turn,front=mid|left=too_close|right=far|back=far,0.007812,1
front=near|left=too_close|right=mid|back=far,Sharp-Right-Turn,front=far|left=too_close|right=mid|back=far,0.0625,8
front=near|left=too_close|right=mid|back=far,Slight-Left-Turn,front=near|left=too_close|right=mid|back=near,0.015625,0
front=near|left=too_close|right=mid|back=far,Slight-Left-Turn,front=near|left=too_close|right=mid|back=far,0.773438,0
front=near|left=too_close|right=mid|back=far,Slight-Left-Turn,front=near|left=too_close|right=far|back=near,0.007812,0
front=near|left=too_close|right=mid|back=far,Slight-Left-Turn,front=near|left=too_close|right=far|back=far,0.085938,0
front=near|left=too_close|right=mid|back=far,Slight-Left-Turn,front=mid|left=too_close|right=mid|back=far,0.046875,0
front=near|left=too_close|right=mid|back=far,Slight-Left-Turn,front=mid|left=too_close|right=far|back=far,0.007812,0
front=near|left=too_close|right=mid|back=far,Slight-Left-Turn,front=far|left=too_close|right=mid|back=far,0.0625,0
front=near|left=too_close|right=far|back=near,Move-Forward,front=near|left=too_close|right=mid|back=near,0.149254,0
front=near|left=too_close|right=far|back=near,Move-Forward,front=near|left=too_close|right=far|back=near,0.701493,0
front=near|left=too_close|right=far|back=near,Move-Forward,front=near|left=ideal|right=far|back=near,0.104478,0
front=near|left=too_close|right=far|back=near,Move-Forward,front=far|left=too_close|right=far|back=near,0.044776,0
front=near|left=too_close|right=far|back=near,Slight-Right-Turn,front=near|left=too_close|right=mid|back=near,0.149254,0
front=near|left=too_close|right=far|back=near,Slight-Right-Turn,front=near|left=too_close|right=far|back=near,0.701493,0
front=near|left=too_close|right=far|back=near,Slight-Right-Turn,front=near|left=ideal|right=far|back=near,0.104478,0
front=near|left=too_close|right=far|back=near,Slight-Right-Turn,front=far|left=too_close|right=far|back=near,0.044776,0
front=near|left=too_close|right=far|back=near,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=near,0.149254,10
front=near|left=too_close|right=far|back=near,Sharp-Right-Turn,front=near|left=too_close|right=far|back=near,0.701493,47
front=near|left=too_close|right=far|back=near,Sharp-Right-Turn,front=near|left=ideal|right=far|back=near,0.104478,7
front=near|left=too_close|right=far|back=near,Sharp-Right-Turn,front=far|left=too_close|right=far|back=near,0.044776,3
front=near|left=too_close|right=far|back=near,Slight-Left-Turn,front=near|left=too_close|right=mid|back=near,0.149254,0
front=near|left=too_close|right=far|back=near,Slight-Left-Turn,front=near|left=too_close|right=far|back=near,0.701493,0
front=near|left=too_close|right=far|back=near,Slight-Left-Turn,front=near|left=ideal|right=far|back=near,0.104478,0
front=near|left=too_close|right=far|back=near,Slight-Left-Turn,front=far|left=too_close|right=far|back=near,0.044776,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=near|left=too_close|right=near|back=far,0.039216,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=near|left=too_close|right=mid|back=near,0.013072,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=near|left=too_close|right=mid|back=far,0.104575,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=near|left=too_close|right=far|back=near,0.013072,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=near|left=too_close|right=far|back=far,0.784314,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=near|left=ideal|right=far|back=far,0.006536,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=mid|left=too_close|right=mid|back=far,0.006536,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=mid|left=too_close|right=far|back=far,0.026144,0
front=near|left=too_close|right=far|back=far,Move-Forward,front=far|left=too_close|right=mid|back=far,0.006536,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=near|left=too_close|right=near|back=far,0.039216,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=near|left=too_close|right=mid|back=near,0.013072,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=near|left=too_close|right=mid|back=far,0.104575,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=near|left=too_close|right=far|back=near,0.013072,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=near|left=too_close|right=far|back=far,0.784314,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=near|left=ideal|right=far|back=far,0.006536,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=mid|left=too_close|right=mid|back=far,0.006536,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=mid|left=too_close|right=far|back=far,0.026144,0
front=near|left=too_close|right=far|back=far,Slight-Right-Turn,front=far|left=too_close|right=mid|back=far,0.006536,0
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=near|left=too_close|right=near|back=far,0.039216,6
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=near,0.013072,2
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=far,0.104575,16
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=near|left=too_close|right=far|back=near,0.013072,2
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=near|left=too_close|right=far|back=far,0.784314,120
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=near|left=ideal|right=far|back=far,0.006536,1
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=mid|left=too_close|right=mid|back=far,0.006536,1
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=mid|left=too_close|right=far|back=far,0.026144,4
front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,front=far|left=too_close|right=mid|back=far,0.006536,1
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=near|left=too_close|right=near|back=far,0.039216,0
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=near|left=too_close|right=mid|back=near,0.013072,0
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=near|left=too_close|right=mid|back=far,0.104575,0
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=near|left=too_close|right=far|back=near,0.013072,0
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=near|left=too_close|right=far|back=far,0.784314,0
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=near|left=ideal|right=far|back=far,0.006536,0
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=mid|left=too_close|right=mid|back=far,0.006536,0
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=mid|left=too_close|right=far|back=far,0.026144,0
front=near|left=too_close|right=far|back=far,Slight-Left-Turn,front=far|left=too_close|right=mid|back=far,0.006536,0
front=near|left=ideal|right=near|back=near,Move-Forward,front=near|left=ideal|right=near|back=near,1.0,0
front=near|left=ideal|right=near|back=near,Slight-Right-Turn,front=near|left=ideal|right=near|back=near,1.0,0
front=near|left=ideal|right=near|back=near,Sharp-Right-Turn,front=near|left=ideal|right=near|back=near,1.0,0
front=near|left=ideal|right=near|back=near,Slight-Left-Turn,front=near|left=ideal|right=near|back=near,1.0,0
front=near|left=ideal|right=near|back=far,Move-Forward,front=near|left=too_close|right=near|back=far,0.021277,0
front=near|left=ideal|right=near|back=far,Move-Forward,front=near|left=ideal|right=near|back=far,0.702128,0
front=near|left=ideal|right=near|back=far,Move-Forward,front=near|left=ideal|right=mid|back=far,0.191489,0
front=near|left=ideal|right=near|back=far,Move-Forward,front=near|left=ideal|right=far|back=far,0.085106,0
front=near|left=ideal|right=near|back=far,Slight-Right-Turn,front=near|left=too_close|right=near|back=far,0.021277,0
front=near|left=ideal|right=near|back=far,Slight-Right-Turn,front=near|left=ideal|right=near|back=far,0.702128,0
front=near|left=ideal|right=near|back=far,Slight-Right-Turn,front=near|left=ideal|right=mid|back=far,0.191489,0
front=near|left=ideal|right=near|back=far,Slight-Right-Turn,front=near|left=ideal|right=far|back=far,0.085106,0
front=near|left=ideal|right=near|back=far,Sharp-Right-Turn,front=near|left=too_close|right=near|back=far,0.021277,1
front=near|left=ideal|right=near|back=far,Sharp-Right-Turn,front=near|left=ideal|right=near|back=far,0.702128,33
front=near|left=ideal|right=near|back=far,Sharp-Right-Turn,front=near|left=ideal|right=mid|back=far,0.191489,9
front=near|left=ideal|right=near|back=far,Sharp-Right-Turn,front=near|left=ideal|right=far|back=far,0.085106,4
front=near|left=ideal|right=near|back=far,Slight-Left-Turn,front=near|left=too_close|right=near|back=far,0.021277,0
front=near|left=ideal|right=near|back=far,Slight-Left-Turn,front=near|left=ideal|right=near|back=far,0.702128,0
front=near|left=ideal|right=near|back=far,Slight-Left-Turn,front=near|left=ideal|right=mid|back=far,0.191489,0
front=near|left=ideal|right=near|back=far,Slight-Left-Turn,front=near|left=ideal|right=far|back=far,0.085106,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=near|left=too_close|right=mid|back=near,0.01108,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=near|left=ideal|right=mid|back=near,0.786704,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=near|left=ideal|right=mid|back=far,0.027701,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=near|left=ideal|right=far|back=near,0.022161,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=near|left=far|right=mid|back=near,0.024931,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=mid|left=ideal|right=mid|back=near,0.077562,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=mid|left=ideal|right=mid|back=far,0.00277,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=far|left=ideal|right=mid|back=near,0.044321,0
front=near|left=ideal|right=mid|back=near,Move-Forward,front=far|left=ideal|right=mid|back=far,0.00277,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=near|left=too_close|right=mid|back=near,0.01108,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=near|left=ideal|right=mid|back=near,0.786704,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=near|left=ideal|right=mid|back=far,0.027701,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=near|left=ideal|right=far|back=near,0.022161,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=near|left=far|right=mid|back=near,0.024931,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=mid|left=ideal|right=mid|back=near,0.077562,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=mid|left=ideal|right=mid|back=far,0.00277,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=far|left=ideal|right=mid|back=near,0.044321,0
front=near|left=ideal|right=mid|back=near,Slight-Right-Turn,front=far|left=ideal|right=mid|back=far,0.00277,0
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=near,0.01108,4
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=near|left=ideal|right=mid|back=near,0.786704,284
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=near|left=ideal|right=mid|back=far,0.027701,10
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=near|left=ideal|right=far|back=near,0.022161,8
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=near|left=far|right=mid|back=near,0.024931,9
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=mid|left=ideal|right=mid|back=near,0.077562,28
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=mid|left=ideal|right=mid|back=far,0.00277,1
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=far|left=ideal|right=mid|back=near,0.044321,16
front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,front=far|left=ideal|right=mid|back=far,0.00277,1
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=near|left=too_close|right=mid|back=near,0.01108,0
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=near|left=ideal|right=mid|back=near,0.786704,0
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=near|left=ideal|right=mid|back=far,0.027701,0
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=near|left=ideal|right=far|back=near,0.022161,0
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=near|left=far|right=mid|back=near,0.024931,0
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=mid|left=ideal|right=mid|back=near,0.077562,0
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=mid|left=ideal|right=mid|back=far,0.00277,0
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=far|left=ideal|right=mid|back=near,0.044321,0
front=near|left=ideal|right=mid|back=near,Slight-Left-Turn,front=far|left=ideal|right=mid|back=far,0.00277,0
front=near|left=ideal|right=mid|back=far,Move-Forward,front=near|left=too_close|right=mid|back=far,0.013423,0
front=near|left=ideal|right=mid|back=far,Move-Forward,front=near|left=ideal|right=near|back=far,0.02349,0
front=near|left=ideal|right=mid|back=far,Move-Forward,front=near|left=ideal|right=mid|back=near,0.057047,0
front=near|left=ideal|right=mid|back=far,Move-Forward,front=near|left=ideal|right=mid|back=far,0.832215,0
front=near|left=ideal|right=mid|back=far,Move-Forward,front=near|left=ideal|right=far|back=far,0.033557,0
front=near|left=ideal|right=mid|back=far,Move-Forward,front=near|left=far|right=mid|back=far,0.013423,0
front=near|left=ideal|right=mid|back=far,Move-Forward,front=mid|left=ideal|right=mid|back=far,0.026846,0
front=near|left=ideal|right=mid|back=far,Slight-Right-Turn,front=near|left=too_close|right=mid|back=far,0.013423,0
front=near|left=ideal|right=mid|back=far,Slight-Right-Turn,front=near|left=ideal|right=near|back=far,0.02349,0
front=near|left=ideal|right=mid|back=far,Slight-Right-Turn,front=near|left=ideal|right=mid|back=near,0.057047,0
front=near|left=ideal|right=mid|back=far,Slight-Right-Turn,front=near|left=ideal|right=mid|back=far,0.832215,0
front=near|left=ideal|right=mid|back=far,Slight-Right-Turn,front=near|left=ideal|right=far|back=far,0.033557,0
front=near|left=ideal|right=mid|back=far,Slight-Right-Turn,front=near|left=far|right=mid|back=far,0.013423,0
front=near|left=ideal|right=mid|back=far,Slight-Right-Turn,front=mid|left=ideal|right=mid|back=far,0.026846,0
front=near|left=ideal|right=mid|back=far,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=far,0.013423,4
front=near|left=ideal|right=mid|back=far,Sharp-Right-Turn,front=near|left=ideal|right=near|back=far,0.02349,7
front=near|left=ideal|right=mid|back=far,Sharp-Right-Turn,front=near|left=ideal|right=mid|back=near,0.057047,17
front=near|left=ideal|right=mid|back=far,Sharp-Right-Turn,front=near|left=ideal|right=mid|back=far,0.832215,248
front=near|left=ideal|right=mid|back=far,Sharp-Right-Turn,front=near|left=ideal|right=far|back=far,0.033557,10
front=near|left=ideal|right=mid|back=far,Sharp-Right-Turn,front=near|left=far|right=mid|back=far,0.013423,4
front=near|left=ideal|right=mid|back=far,Sharp-Right-Turn,front=mid|left=ideal|right=mid|back=far,0.026846,8
front=near|left=ideal|right=mid|back=far,Slight-Left-Turn,front=near|left=too_close|right=mid|back=far,0.013423,0
front=near|left=ideal|right=mid|back=far,Slight-Left-Turn,front=near|left=ideal|right=near|back=far,0.02349,0
front=near|left=ideal|right=mid|back=far,Slight-Left-Turn,front=near|left=ideal|right=mid|back=near,0.057047,0
front=near|left=ideal|right=mid|back=far,Slight-Left-Turn,front=near|left=ideal|right=mid|back=far,0.832215,0
front=near|left=ideal|right=mid|back=far,Slight-Left-Turn,front=near|left=ideal|right=far|back=far,0.033557,0
front=near|left=ideal|right=mid|back=far,Slight-Left-Turn,front=near|left=far|right=mid|back=far,0.013423,0
front=near|left=ideal|right=mid|back=far,Slight-Left-Turn,front=mid|left=ideal|right=mid|back=far,0.026846,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=near|left=too_close|right=far|back=near,0.057377,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=near|left=ideal|right=mid|back=near,0.081967,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=near|left=ideal|right=mid|back=far,0.008197,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=near|left=ideal|right=far|back=near,0.672131,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=near|left=ideal|right=far|back=far,0.090164,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=near|left=far|right=far|back=near,0.008197,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=mid|left=ideal|right=far|back=near,0.016393,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=far|left=too_close|right=far|back=near,0.02459,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=far|left=ideal|right=mid|back=near,0.02459,0
front=near|left=ideal|right=far|back=near,Move-Forward,front=far|left=ideal|right=far|back=near,0.016393,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=near|left=too_close|right=far|back=near,0.057377,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=near|left=ideal|right=mid|back=near,0.081967,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=near|left=ideal|right=mid|back=far,0.008197,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=near|left=ideal|right=far|back=near,0.672131,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=near|left=ideal|right=far|back=far,0.090164,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=near|left=far|right=far|back=near,0.008197,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=mid|left=ideal|right=far|back=near,0.016393,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=far|left=too_close|right=far|back=near,0.02459,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=far|left=ideal|right=mid|back=near,0.02459,0
front=near|left=ideal|right=far|back=near,Slight-Right-Turn,front=far|left=ideal|right=far|back=near,0.016393,0
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=near|left=too_close|right=far|back=near,0.057377,7
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=near|left=ideal|right=mid|back=near,0.081967,10
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=near|left=ideal|right=mid|back=far,0.008197,1
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=near|left=ideal|right=far|back=near,0.672131,82
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=near|left=ideal|right=far|back=far,0.090164,11
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=near|left=far|right=far|back=near,0.008197,1
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=mid|left=ideal|right=far|back=near,0.016393,2
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=far|left=too_close|right=far|back=near,0.02459,3
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=far|left=ideal|right=mid|back=near,0.02459,3
front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,front=far|left=ideal|right=far|back=near,0.016393,2
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=near|left=too_close|right=far|back=near,0.057377,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=near|left=ideal|right=mid|back=near,0.081967,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=near|left=ideal|right=mid|back=far,0.008197,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=near|left=ideal|right=far|back=near,0.672131,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=near|left=ideal|right=far|back=far,0.090164,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=near|left=far|right=far|back=near,0.008197,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=mid|left=ideal|right=far|back=near,0.016393,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=far|left=too_close|right=far|back=near,0.02459,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=far|left=ideal|right=mid|back=near,0.02459,0
front=near|left=ideal|right=far|back=near,Slight-Left-Turn,front=far|left=ideal|right=far|back=near,0.016393,0
front=near|left=ideal|right=far|back=far,Move-Forward,front=near|left=too_close|right=far|back=far,0.031008,0
front=near|left=ideal|right=far|back=far,Move-Forward,front=near|left=ideal|right=near|back=far,0.007752,0
front=near|left=ideal|right=far|back=far,Move-Forward,front=near|left=ideal|right=mid|back=near,0.003876,0
front=near|left=ideal|right=far|back=far,Move-Forward,front=near|left=ideal|right=mid|back=far,0.011628,0
front=near|left=ideal|right=far|back=far,Move-Forward,front=near|left=ideal|right=far|back=near,0.065891,0
