state_id,state,optimal_action,visits_in_data,Q[Move-Forward],Q[Slight-Right-Turn],Q[Sharp-Right-Turn],Q[Slight-Left-Turn]
23,front=near|left=lost|right=far|back=far,Move-Forward,0,-50.0,-50.0,-50.0,-50.0
24,front=mid|left=too_close|right=near|back=near,Move-Forward,0,-20.0,-20.0,-20.0,-20.0
25,front=mid|left=too_close|right=near|back=far,Move-Forward,0,-20.0,-20.0,-20.0,-20.0
26,front=mid|left=too_close|right=mid|back=near,Move-Forward,77,34.7425,29.8195,27.7629,27.7629
27,front=mid|left=too_close|right=mid|back=far,Move-Forward,178,31.5613,28.783,26.1655,26.1655
28,front=mid|left=too_close|right=far|back=near,Move-Forward,55,27.5249,26.8178,24.3779,24.3779
29,front=mid|left=too_close|right=far|back=far,Slight-Right-Turn,15,12.7693,16.8753,-6.922,12.4935
30,front=mid|left=ideal|right=near|back=near,Move-Forward,2,40.4071,37.4071,37.4071,37.4071
31,front=mid|left=ideal|right=near|back=far,Move-Forward,43,29.8557,26.8557,26.8557,26.8557
32,front=mid|left=ideal|right=mid|back=near,Move-Forward,445,41.2075,38.1744,30.3422,38.1744
33,front=mid|left=ideal|right=mid|back=far,Move-Forward,308,38.2753,35.1931,19.66,35.1931
34,front=mid|left=ideal|right=far|back=near,Move-Forward,150,40.8491,37.7523,20.3728,37.7523
35,front=mid|left=ideal|right=far|back=far,Move-Forward,216,37.2451,34.2451,34.2451,34.2451
36,front=mid|left=far|right=near|back=near,Move-Forward,0,-5.0,-5.0,-5.0,-5.0
37,front=mid|left=far|right=near|back=far,Slight-Left-Turn,16,10.7927,10.7927,10.7927,13.7927
38,front=mid|left=far|right=mid|back=near,Slight-Left-Turn,1,26.0456,26.0456,26.0456,29.0456
39,front=mid|left=far|right=mid|back=far,Move-Forward,33,32.1675,27.0606,27.0606,29.5611
40,front=mid|left=far|right=far|back=near,Move-Forward,0,-5.0,-5.0,-5.0,-5.0
41,front=mid|left=far|right=far|back=far,Slight-Left-Turn,10,20.1426,20.1426,20.1426,23.1426
42,front=mid|left=lost|right=near|back=near,Move-Forward,0,-20.0,-20.0,-20.0,-20.0
43,front=mid|left=lost|right=near|back=far,Slight-Left-Turn,1,11.9134,11.9134,11.9134,14.9134
44,front=mid|left=lost|right=mid|back=near,Move-Forward,0,-20.0,-20.0,-20.0,-20.0
45,front=mid|left=lost|right=mid|back=far,Slight-Left-Turn,46,27.4767,27.4767,27.4767,30.4767
46,front=mid|left=lost|right=far|back=near,Move-Forward,0,-20.0,-20.0,-20.0,-20.0
47,front=mid|left=lost|right=far|back=far,Move-Forward,0,-20.0,-20.0,-20.0,-20.0
48,front=far|left=too_close|right=near|back=near,Move-Forward,0,-15.0,-15.0,-15.0,-15.0
49,front=far|left=too_close|right=near|back=far,Move-Forward,0,-15.0,-15.0,-15.0,-15.0
50,front=far|left=too_close|right=mid|back=near,Slight-Right-Turn,66,23.6071,27.8642,24.9311,24.9311
51,front=far|left=too_close|right=mid|back=far,Slight-Right-Turn,222,23.1212,23.7636,20.9489,20.9489
52,front=far|left=too_close|right=far|back=near,Slight-Right-Turn,75,24.5072,27.5072,24.5072,24.5072
53,front=far|left=too_close|right=far|back=far,Move-Forward,28,37.9845,31.7344,29.1643,29.1643
54,front=far|left=ideal|right=near|back=near,Move-Forward,0,25.0,25.0,25.0,25.0
55,front=far|left=ideal|right=near|back=far,Move-Forward,0,25.0,25.0,25.0,25.0
56,front=far|left=ideal|right=mid|back=near,Move-Forward,337,43.7619,40.7619,40.7619,40.7619
57,front=far|left=ideal|right=mid|back=far,Move-Forward,132,36.7871,33.7871,33.7871,33.7871
58,front=far|left=ideal|right=far|back=near,Move-Forward,96,40.1382,37.1382,37.1382,37.1382
59,front=far|left=ideal|right=far|back=far,Move-Forward,14,39.3082,36.3082,36.3082,36.3082
60,front=far|left=far|right=near|back=near,Move-Forward,0,0.0,0.0,0.0,0.0
61,front=far|left=far|right=near|back=far,Move-Forward,0,0.0,0.0,0.0,0.0
62,front=far|left=far|right=mid|back=near,Slight-Left-Turn,1,25.9396,25.9396,25.9396,28.9396
63,front=far|left=far|right=mid|back=far,Slight-Left-Turn,101,29.4148,29.4148,29.4148,32.4148
64,front=far|left=far|right=far|back=near,Move-Forward,0,0.0,0.0,0.0,0.0
65,front=far|left=far|right=far|back=far,Slight-Left-Turn,13,28.7742,28.7742,28.7742,31.7742
66,front=far|left=lost|right=near|back=near,Move-Forward,0,-15.0,-15.0,-15.0,-15.0
67,front=far|left=lost|right=near|back=far,Move-Forward,0,-15.0,-15.0,-15.0,-15.0
68,front=far|left=lost|right=mid|back=near,Move-Forward,0,-15.0,-15.0,-15.0,-15.0
69,front=far|left=lost|right=mid|back=far,Slight-Left-Turn,1,35.6084,35.6084,35.6084,38.6084
70,front=far|left=lost|right=far|back=near,Move-Forward,0,-15.0,-15.0,-15.0,-15.0
71,front=far|left=lost|right=far|back=far,Move-Forward,0,-15.0,-15.0,-15.0,-15.0
